location,job_description_url,job_title,company_name,company_link,company_location,company_logo,job_ description,time
France,https://fr.linkedin.com/jobs/view/data-analyst-at-groupe-intm-3807125020?refId=tcsgFHGVy4QafGxqAFhTAA%3D%3D&trackingId=6d0Sb2SpRj0%2FdD2ivHyglA%3D%3D&position=25&pageNum=1&trk=public_jobs_jserp-result_search-card,Data Analyst h/f/x,Bridge,https://fr.linkedin.com/company/bridgeapi-io?trk=public_jobs_topcard-org-name,Paris,https://media.licdn.com/dms/image/C4D0BAQHTtgrIigV7rg/company-logo_100_100/0/1630571825891?e=2147483647&v=beta&t=PBRZGYv41sf4dkBsWE_X8HZREB6e1GMWgjG24sS9h5s,"En tant que  Data Analyst h/f/x  au sein du pôle Data, tu travailleras en collaboration avec Clément (Head of Data). Tes missions seront les suivantes : Accompagner le métier dans la compréhension et la définition de ses besoins data  Participer à la mise en place de tableaux de bord et indicateurs permettant de piloter l'activité de l'entreprise.  Produire des études et analyses poussées afin de donner une visibilité chiffrée sur l'activité de Bridge  Guider la prise de décision à tous les niveaux (produit, tech, stratégie…).  Participer à l'ensemble des projets structurants de l'équipe data et à la valorisation de la data dans la plateforme Bridgeapi via des algorithmes ou modèles prédictifs.  Devenir garant de la qualité et fiabilité de la donnée chez Bridge Promouvoir l'utilisation de la data chez Bridge via des événements et l'animation d'une communauté Bridge data.  🔥 Travailler chez Bridge, c'est : Des bureaux au coeur de Paris, métro République  Une politique hybride : 3 jours de télétravail par semaine  10 jours de repos offerts par an en plus de tes congés  Une carte Swile pour tes déjeuners  Un accord d'intéressement accessible à partir de 3 mois d'ancienneté 📈  Un dispositif d'épargne salariale avec notre partenaire Epsor  La mutuelle Alan avec une prise en charge de 55%  Des événements et rituels Bridge toute l'année : off-site, afterworks, événements internes,…  Profil recherché: Tu disposes d'un niveau Master dans une école supérieure / université avec une spécialisation en Data Tu as une expérience significative d'au moins un an en manipulation et analyse de données Tu sais communiquer avec les différentes équipes (Sales, Produit, Finance....) Tu es force de proposition et t'intéresse aux problématiques des autres équipes et de l'entreprise Tu as déjà travaillé sur des sujets de Data Science Plus globalement : Contribuer positivement au développement de la société et à sa culture d'entreprise.  Ces missions sont susceptibles d'évoluer selon les besoins et les priorités de l'entreprise en lien avec l'évolution de la stratégie.
       

        

    
    
    

     
        Voir plus

         
     
  

        

    
    
    

     
        Voir moins",il y a 1 mois
France,https://fr.linkedin.com/jobs/view/data-analyst-at-groupe-intm-3807125020?refId=pus4RRChIZvS3ZpeqhvfcQ%3D%3D&trackingId=obJIRVDlO%2BLWUVSAjjikKA%3D%3D&position=25&pageNum=2&trk=public_jobs_jserp-result_search-card,Data Analyst,Groupe INTM,https://fr.linkedin.com/company/intm?trk=public_jobs_topcard-org-name,Strasbourg,https://media.licdn.com/dms/image/C4D0BAQFC9lREP5asFg/company-logo_100_100/0/1630473084356/intm_logo?e=2147483647&v=beta&t=vlt-V3ef_DbLw9Ke9cK0OloFcQT-Hbrd8-9AVKkBSos,"Rejoignez le Groupe INTM ! Dans le cadre de notre développement, nous recherchons un  Data Analyst - Expert PowerBI F/H  pour accompagner notre client dans ses projets. En collaborant avec les managers des différents services pour résoudre des questions business, vos principales missions seront : Le recueil et l'analyse des besoins des services. La visualisation des données : la conception des tableaux de bord en s'appuyant sur votre maitrise de  PowerBI. La création des rapports personnalisés. La documentation sur les méthodes employées. La modélisation et l'architecture des gisements des données. Description du profil :  Titulaire d’un Bac +5 et issu.e d’une formation BIG DATA, vous bénéficiez d'une expérience de quelques années en tant qu’Analyste ou Concepteur/Développeur DATA/BIG DATA, idéalement dans le secteur des banques assurances. Vous maitrisez parfaitement le  PowerBI , et vous avez des bases solides dans le  SQL  et les différentes topologies systèmes Windows et Linux. Vous êtes à l’aise avec les chiffres et leur interprétation. Vous avez de bonnes capacités de communication et savez travailler en équipe. Votre curiosité et ténacité vous éviteront de passer à côté d’une information essentielle et vous permettront de trouver les meilleures solutions. Niveau d’expérience Confirmé Type de contrat CDI - Temps plein Localisation du poste : Strasbourg Activez votre plein potentiel au sein du Groupe INTM !  😉 Ce poste est ouvert aux personnes en situation de handicap 
       

        

    
    
    

     
        Voir plus

         
     
  

        

    
    
    

     
        Voir moins",il y a 4 jours
France,https://fr.linkedin.com/jobs/view/data-analyst-h-f-at-groupe-sii-3745310569?refId=BFjO9OLlnMMFuVn8jwiJew%3D%3D&trackingId=EKUOML%2FsIgpJfHAhuiG6MQ%3D%3D&position=25&pageNum=3&trk=public_jobs_jserp-result_search-card,Data Analyst,Groupe INTM,https://fr.linkedin.com/company/intm?trk=public_jobs_topcard-org-name,Strasbourg,https://media.licdn.com/dms/image/C4D0BAQFC9lREP5asFg/company-logo_100_100/0/1630473084356/intm_logo?e=2147483647&v=beta&t=vlt-V3ef_DbLw9Ke9cK0OloFcQT-Hbrd8-9AVKkBSos,"Rejoignez le Groupe INTM ! Dans le cadre de notre développement, nous recherchons un  Data Analyst - Expert PowerBI F/H  pour accompagner notre client dans ses projets. En collaborant avec les managers des différents services pour résoudre des questions business, vos principales missions seront : Le recueil et l'analyse des besoins des services. La visualisation des données : la conception des tableaux de bord en s'appuyant sur votre maitrise de  PowerBI. La création des rapports personnalisés. La documentation sur les méthodes employées. La modélisation et l'architecture des gisements des données. Description du profil :  Titulaire d’un Bac +5 et issu.e d’une formation BIG DATA, vous bénéficiez d'une expérience de quelques années en tant qu’Analyste ou Concepteur/Développeur DATA/BIG DATA, idéalement dans le secteur des banques assurances. Vous maitrisez parfaitement le  PowerBI , et vous avez des bases solides dans le  SQL  et les différentes topologies systèmes Windows et Linux. Vous êtes à l’aise avec les chiffres et leur interprétation. Vous avez de bonnes capacités de communication et savez travailler en équipe. Votre curiosité et ténacité vous éviteront de passer à côté d’une information essentielle et vous permettront de trouver les meilleures solutions. Niveau d’expérience Confirmé Type de contrat CDI - Temps plein Localisation du poste : Strasbourg Activez votre plein potentiel au sein du Groupe INTM !  😉 Ce poste est ouvert aux personnes en situation de handicap 
       

        

    
    
    

     
        Voir plus

         
     
  

        

    
    
    

     
        Voir moins",il y a 4 jours
France,https://fr.linkedin.com/jobs/view/data-analyst-f-h-at-fyte-3792170617?refId=CFMAdK2G%2FRsPF30g5fVQxw%3D%3D&trackingId=ss2NeJjZiepuNiL6OeBwAw%3D%3D&position=25&pageNum=4&trk=public_jobs_jserp-result_search-card,Data analyst (H/F),Groupe SII,https://fr.linkedin.com/company/sii?trk=public_jobs_topcard-org-name,Lille et périphérie,https://media.licdn.com/dms/image/C4E0BAQGQikS9Fd-3Kw/company-logo_100_100/0/1631320379623?e=2147483647&v=beta&t=Hza7i-h88GssxKdNHCkCW4XYp4gtJ287pC6x8RgT-lc,"Devenez le prochain collaborateur d'SII Nord, en tant que : Data analyst (H/F) En intégrant l’équipe data de l'un de nos client, les missions qui vous sont confiées sont :  D’aider à la conception des modèles de données  D’optimiser/améliorer le reporting existant  D’aider sur le calcul des KPI  D’optimiser les requêtes  De participer aux divers projets liés à la data (développement d’algorithme, croisement de données etc.) Profil Dans l’idéal (oui uniquement dans l’idéal, chez nous on ne cherche pas qu’un CV mais une collaboration durable), vous êtes issu d’une formation supérieure Bac +5 et vous justifiez d’une expérience de 2 ans sur un poste de Data Analyst. BigQuery, PowerBI ou encore GCP  n’ont plus de secret pour vous. Au-delà Des Compétences Techniques, Vous Êtes/avez  Rigoureux : chaque détail a son importance  Curieux : Désireux de connaître le « pourquoi » et le « comment »  Organisé : chaque journée commence par une « To do »  Sens du service : la satisfaction client est votre objectif premier Ces qualités vous permettent de mener à bien le projet. Qui sommes-nous ? Le Groupe SII est une société d’ingénierie et de conseils en technologies (ICT) et une entreprise de services numériques (ESN). Nous sommes au cœur de l'innovation au service de grands comptes dans des secteurs d'ingénierie variés. En 2023, pour la  6ème année consécutive,  SII France a obtenu le label  Great Place To Work® . Nous avons été reconnus 3ème entreprise de « + de 2500 salariés» où il fait bon vivre. Nous sommes très fiers d’obtenir cette reconnaissance de nos salariés ! Ce succès est le reflet de notre culture basée sur notre volonté de proposer à tous nos salariés un cadre de travail épanouissant pour le développement de leurs compétences et carrières. En fonction de la mission, il est possible de réaliser jusqu’à 50 % de télétravail grâce à notre accord dédié. Rejoignez le  mouvement #fungenieur  dans lequel la passion pour la technologie, la créativité, la proximité et l’esprit d’équipe sont mis à l’honneur. Le Groupe SII est une société  handi-accueillante , signataire de la Charte de la diversité en entreprise. Alors si ces valeurs vous parlent, rejoignez-nous ! 
       

        

    
    
    

     
        Voir plus

         
     
  

        

    
    
    

     
        Voir moins",il y a 2 jours
France,https://fr.linkedin.com/jobs/view/database-engineer-at-glocomms-3801327476?refId=mDo9RL6HRGEh3xon5I2%2BjQ%3D%3D&trackingId=g9Y%2BRJgflNg9gRmwLIwEDQ%3D%3D&position=25&pageNum=5&trk=public_jobs_jserp-result_search-card,Data Analyst F/H,FYTE,https://fr.linkedin.com/company/fyte?trk=public_jobs_topcard-org-name,Nanterre,https://media.licdn.com/dms/image/C510BAQGdz98ihSuH8Q/company-logo_100_100/0/1631324652483?e=2147483647&v=beta&t=M9Gp_6hnQqMSbt1AlBQVzMoZnO6RudyUwrJAapgs7Sc,"Notre client est un acteur majeur dans l’industrie automobile, dans un contexte de croissance, il recrute un Data Analyst F/H afin de renforcer ses équipes présentes sur site. Directement rattaché au Manager Technique, le Data Analyst F/H a pour rôle de contrôler, d’analyser, de développer et de maintenir la données à destination des équipes business. Vos Principales Responsabilités Seront De Identifier et corriger les problèmes de qualité des données (valeurs manquantes, erreurs). Assurer la cohérence et la fiabilité des données pour les analyses ultérieure Utilisation d'outils statistiques pour découvrir des tendances et des modèles. Création de visualisations pour présenter des conclusions claires. Développement de modèles prédictifs pour aider aux décisions. Collaboration avec différentes équipes pour répondre à leurs besoins en données Créer des graphiques, des tableaux de bord ou des rapports visuels pour représenter les conclusions. Faciliter la compréhension des données complexes par des représentations visuelles. Se tenir au courant des nouvelles technologies et des tendances en analyse de données. Améliorer continuellement les compétences pour rester pertinent dans le domaine. Connaissances Techniques Exam PL-300: Microsoft Power BI Data Analyst SQL & nonSQL Data quality Azure, Databricks, Semarchy, Talend Idéalement issu d’un formation technique spécialisée dans la modélisation de données , vous avez de bonnes. capacités communicatives, d’écoute et de présentation. Vous avez de solides compétences analytiques et aptitude à résoudre des problèmes et idéalement des connaissances dans tomoble secteurs de l’industrie auile
       

        

    
    
    

     
        Voir plus

         
     
  

        

    
    
    

     
        Voir moins",il y a 1 mois
France,https://fr.linkedin.com/jobs/view/data-analyst-python-confirm%C3%A9-h-f-at-lincoln-3712800364?refId=2DjuhO2OIaZnRfgxGh0pmg%3D%3D&trackingId=3M%2BuKQQmdndjCBLOPlTf0g%3D%3D&position=25&pageNum=6&trk=public_jobs_jserp-result_search-card,Database Engineer,Glocomms,https://www.linkedin.com/company/glocomms?trk=public_jobs_topcard-org-name,Mulhouse,https://media.licdn.com/dms/image/D4E0BAQEbPXbezpUyWA/company-logo_100_100/0/1688371347926/glocomms_logo?e=2147483647&v=beta&t=d_2VYcLAp_pCFOvmIvDb6CJN0JUXsHApspoGQeCl4MQ,"We have a current opportunity for a Database Administrator/ Engineer on a contract basis. The position will be based in Mulhouse, France. For further information about this position please apply. Job Title: Database Engineer/ Administrator Contract Length: 6 month extendable (3 year project) Location: Mulhouse, France Remote work: Hybrid Context: We are working with a Global Consultancy who have defined an ambitious Master Plan for Information Systems, the implementation of which requires a strong strengthening of the Information Systems Department. Responsibilities Responsible for the optimal functioning of the tools and systems under his/her charge. Implement tools while ensuring data consistency. Operate and manages database servers (administration, automation, development of procedures, security and access authorisation, optimisation of processing and queries, etc.). Create, at the request of the studies or the operation, specific tools to support the operation. Validates the installation and integration of new tools into the production environment. Manages security and access to servers and applications based on profiles. Support: Participates in corrective maintenance actions by ensuring their quality Proposes improvements to optimise existing resources and their organisation Carries out the transfer of skills and technical assistance of procedures to the teams Handles Tier 3 external support Projects: Identifies technical needs and the financial consequences of technical needs. Leads the various infrastructure development projects in his/her area of expertise according to constraints.   Technology Oracle PostgreSQL Linux/ Unix 
       

        

    
    
    

     
        Voir plus

         
     
  

        

    
    
    

     
        Voir moins",il y a 1 semaine
France,https://fr.linkedin.com/jobs/view/freelance-data-analyst-scada-at-vaska-3809189895?refId=rAAWSSGokHyIL8EBexL9sw%3D%3D&trackingId=gvGTSAiVJhUQqdlklDFcXQ%3D%3D&position=25&pageNum=7&trk=public_jobs_jserp-result_search-card,Data Analyst Python Confirmé - H/F,LINCOLN,https://fr.linkedin.com/company/lincoln-?trk=public_jobs_topcard-org-name,Boulogne-Billancourt,https://media.licdn.com/dms/image/D4E0BAQHmoLHKVCW99Q/company-logo_100_100/0/1698919016549/lincoln__logo?e=2147483647&v=beta&t=6MnHqcwzn9UFUVzVNPxZvFpcn0Xy7EG4P5v3e6FY6xU,"Data Analyst Python - H/F 📑 CDI 📍Paris Chez Lincoln  nous ne sommes pas seulement  une société de conseil,   nous sommes une communauté d'innovateurs passionnés qui repoussent constamment les limites de l'analyse de données pour créer un avenir meilleur. Fondée depuis  plus de 30 ans , nous sommes reconnues pour notre expertise DATA et proposons des prestations, de conseil et d’accompagnement en Modern BI, Big Data et Science de la donnée. Nous rejoindre, c’est  : Progresser au sein d’une équipe de  +380 experts de l’ingénierie Avoir une rapidité d’évolution, une diversité des missions, une mobilité facilitée et des formations certifiantes Nous cherchons nos futurs  Data Analysts  prêt à relever de nouveaux défis et participer à la croissance de Lincoln. Responsabilités : Collecter, nettoyer et traiter des données à partir de différentes sources, Concevoir et développer des tableaux de bord interactifs et des rapports automatisés pour suivre les KPIs clés, Effectuer des analyses statistiques approfondies pour identifier des tendances, des modèles et des opportunités, Préparer des rapports et des présentations visuelles pour communiquer les résultats de manière efficace, Collaborer avec les équipes opérationnelles pour résoudre des problèmes complexes et prendre des décisions basées sur les données, Contribuer à l'amélioration continuer des processus d'analyse des données. Qualifications requises  : Diplôme en informatique, statistiques, mathématiques ou domaine connexe, Expérience significative en CDI  en tant que Data Analyst, Excellente maîtrise de  Python  pour l'analyse de données, Solides compétences en  SQL  pour interroger des bases de données, Maîtrise des outils de visualisation de données tels que  Tableau, Power BI ou équivalent, Capacité à travailler de manière autonome et en équipe, Excellentes compétences en communication et en présentation, Souci du détail et capacité à gérer plusieurs tâches simultanément. Vous l'aurez compris :  si vous êtes passionné(e) par la Data et que vous cherchez à relever de nouveaux défis, nous aimerions avoir de vos nouvelles, n'hésitez plus... postulez  😉 
       

        

    
    
    

     
        Voir plus

         
     
  

        

    
    
    

     
        Voir moins",il y a 2 jours
France,https://fr.linkedin.com/jobs/view/data-analyst-charg%C3%A9-e-de-pilotage-h-f-bois-guillaume-76-at-caisse-d-epargne-normandie-3789176479?refId=X%2F6ftZ5McWG9guNl0%2BJ5Og%3D%3D&trackingId=JJ%2FHJjDUHN5VXljbKvRmlQ%3D%3D&position=25&pageNum=8&trk=public_jobs_jserp-result_search-card,Freelance Data Analyst Scada,VASKA,https://fr.linkedin.com/company/vaska-by-visian?trk=public_jobs_topcard-org-name,Courbevoie,https://media.licdn.com/dms/image/D4E0BAQEleN55ZFSkpg/company-logo_100_100/0/1666547708404?e=2147483647&v=beta&t=8Upz-64bwQeUpRgzlnL4HipTGASsnWO0DQo4x07wjKw,"Mission : Nous recherchons un(e) Analyste de Données Business expérimenté(e) pour rejoindre l'équipe de digitalisation des processus métiers du GBU Renouvelables. L'objectif principal est d'analyser les opportunités d'amélioration des directives de reporting sur la disponibilité des installations solaires, basées sur l'analyse des données SCADA solaires. Principales Activités : Analyser les données SCADA solaires. Construire un cockpit pour afficher le comportement des données SCADA pendant les périodes d'indisponibilité. Redévelopper dans un environnement de test la méthode actuelle de reporting solaire. Proposer des évolutions des directives de reporting solaire d'ENGIE et évaluer l'impact sur les KPI de reporting actuels sur un large échantillon de fermes. Fournir une vision sur la fiabilité et l'utilisabilité des propositions d'évolution. Offrir une vue claire sur les besoins en données et la qualité des données. Livraisons Attendues : Tableau de bord Grafana, carnet Jupyter. Études. Rapports hebdomadaires et mensuels sur les activités de livraison. Suivi mensuel du temps, rapport d'activité, tableau de bord des KPI. Profil recherché Expertise dans l'analyse de données, en particulier les données SCADA dans le secteur de l'énergie renouvelable. Expérience dans le développement de solutions de reporting et d'analyse de données. Capacité à travailler dans des environnements organisationnels complexes et multinationaux. Excellentes compétences en communication et en collaboration. Approche agile et adaptabilité rapide aux changements. Anglais Bilingue 
       

        

    
    
    

     
        Voir plus

         
     
  

        

    
    
    

     
        Voir moins",il y a 2 jours
France,https://fr.linkedin.com/jobs/view/stage-assistant-data-analyst-media-h-f-at-nestl%C3%A9-3802132688?refId=AP%2B59gN%2F5I%2FYIjHqhSnrFA%3D%3D&trackingId=W9Rfz4FRvZO3M%2BIU%2B0u21g%3D%3D&position=25&pageNum=9&trk=public_jobs_jserp-result_search-card,Data Analyst - Chargé(e) de Pilotage H/F - Bois-Guillaume (76),Caisse d'Epargne Normandie,https://fr.linkedin.com/company/caisse-d'epargne-normandie?trk=public_jobs_topcard-org-name,Rouen,https://media.licdn.com/dms/image/D4E0BAQE3VgUnbuJ-qg/company-logo_100_100/0/1698769942339/caisse_depargne_normandie_logo?e=2147483647&v=beta&t=Xq9R1PmBJwCXmmZEXPtgQJXrZqRkLHBF5Fjc_so0FaE,"Description de l'entreprise Intégrez la Caisse d’Epargne Normandie et…  Rejoignez la communauté professionnelle ouverte d’une banque 100% normande, la seule à couvrir intégralement les 5 départements avec ses 210 agences et centres d’affaires au service de plus d’un million de clients.  Participez au développement de l’économie régionale en intégrant une banque catalyseur de projets et qui agit au quotidien pour l’inclusion, l’innovation et la transition énergétique en Normandie.  Visez la performance et la qualité de la relation client au sein d’équipes à dimension humaine, avec un management de proximité et des circuits de décision locaux.  Révélez vos talents dans une banque qui vous accompagnera dans votre parcours professionnel. Variez les terrains de jeux en fonction de vos projets et de vos compétences au travers de nos différents métiers au contact de la clientèle et avec la possibilité de vous orienter vers des postes d’expert ou de manager.  Donnez du sens à votre carrière au sein d’une entreprise qui vous surprendra par la diversité de ses engagements : nos actions et nos partenariats ont un impact positif et durable sur la société. Notre entreprise coopérative est notamment le 1er mécène de l’économie sociale et solidaire du secteur associatif en Normandie, la 1ère banque française labélisée B Corp et le partenaire prémium des Jeux de Paris 2024. Nous recherchons un(e) Data Analyst / Chargé(e) de Pilotage H/F pour notre Direction Consulting et Prestations Clients à Bois-Guillaume (76) Poste et missions Rattaché(e) à La Directrice Consulting Et Prestations Clients, Vous Contribuez à La Production Et à L’analyse Des Données En Fournissant Les Éléments Nécessaires à La Prise De Décision. Pour Ce Faire, Vous Êtes En Charge De Mettre En Place Des Solutions De Reporting En Réponse à Des Besoins Métiers  Analyse du besoin et proposition de compléments le cas échéant  Identification des sources de données adéquates,  Construction d’indicateurs,  Elaboration de restitutions pertinentes et respectant les standards d’une bonne visualisation de données,  Automatisation des traitements afin d’en faciliter la mise à jour récurrente,  Analyse et regard critique sur les résultats obtenus,  Réalisation de contrôles de fiabilité. Profil et compétences requises Issu(e) d’une formation supérieure (bac + 4/5) de type ingénierie des données, analyse des données, STID, MASS, MIAS, SIAD ou niveau équivalent obtenu par une expérience reconnue, vous justifiez d’une première expérience réussie en pilotage et structuration de données. Vous maitrisez les outils de visualisation / structuration des données tels que Power BI ou Business Object, mais également Excel sur un niveau avancé. Des connaissances en langage SQL seraient un plus apprécié. Vous disposez d’un bon relationnel, d’un sens de la communication, de l'écoute et du travail en équipe. Rigueur, capacité d'analyse et de synthèse, force de proposition seront incontournables dans votre quotidien professionnel. Engagement, dynamisme, autonomie seront les meilleurs gages de réussite dans vos missions. Informations complémentaires sur le poste Le processus de recrutement se déroulera en 2 étapes  : Un entretien RH Un entretien opérationnel auprès du(de la) Directeur(trice) Carrière Vous bénéficierez de plusieurs avantages : Un cursus d’intégration comprenant des immersions agence et échanges avec les autres directions Un accompagnement individualisé pour favoriser votre montée en compétences Une diversité de parcours professionnels adaptée à chacun Rémunération Un Package attractif (une rémunération incluant un 13e mois ; une part variable récompensant votre performance ; une prime d’intéressement/participation aux bénéfices de l’entreprise) Titre restaurant (carte Bimpli) 9€/ jour travaillé pris en charge à hauteur de 60% Une mutuelle, une prévoyance, une retraite complémentaire du groupe BPCE Avantages forfait jour pour les cadres - 11 jours de RTT Un accès aux activités sociales et culturelles de notre Comité d’Entreprise Des incitations à la mobilité durable (prime de conversion ; km à vélo remboursés ; prime d’achat vélo électrique ; 50% d’abonnements de transports en commun) Un compte épargne temps Des tarifs bancaires et assurantiels préférentiels 7 services « CEN for me » simplifiant votre vie et celle de votre famille Participation de l’entreprise sur des chèques CESU Prise en charge des abonnements de transport en commun Modalités Pratiques Télétravail 2jours/semaine (sous condition d’ancienneté) Horaires variables Travail du lundi au vendredi
       

        

    
    
    

     
        Voir plus

         
     
  

        

    
    
    

     
        Voir moins",il y a 19 heures
France,https://fr.linkedin.com/jobs/view/data-analyst-dataiku-h-f-at-extia-3704930990?refId=yab3eCYvRYPB3585U7i8IA%3D%3D&trackingId=3ksj13ztTajRZC66XXuxww%3D%3D&position=25&pageNum=10&trk=public_jobs_jserp-result_search-card,Stage - Assistant Data Analyst Media H/F,Nestlé,https://ch.linkedin.com/company/nestle-s-a-?trk=public_jobs_topcard-org-name,Issy-les-Moulineaux,https://media.licdn.com/dms/image/C4E0BAQGaL-YyJ8xd7Q/company-logo_100_100/0/1630615758178/nestle_s_a__logo?e=2147483647&v=beta&t=TW4EGXLjvRwetnccD87l9MJ90XKWfNNGdGFV24Uzs6E,"Depuis plus de 150 ans, Nestlé met son savoir-faire au service de l’alimentation et s’est fixé le dessein ambitieux d’améliorer la qualité de vie et contribuer à un avenir plus sain. Guidés par ces valeurs, les 10 000 collaborateurs de Nestlé en France cultivent l’esprit pionnier d’Henri Nestlé, et contribuent tous les jours à l’amélioration des produits d’une centaine de marques connues et reconnues. La France est le 1er marché européen de Nestlé, le 3e dans le monde et 70% des matières premières utilisées dans ses usines sont françaises. Envie de rejoindre le premier pôle d’expertises agro-alimentaires, Place à l’action ! C’est maintenant. Pour aujourd’hui et pour demain. En un coup d'oeil :  Stage temps plein  Lieu : Issy Les Moulineaux  A compter de : Mars 2024  Pour une durée de : 6 mois  » Un management bienveillant et un parcours d’intégration organisé par votre manager, vous permettant d’évoluer dans un environnement agréable. » Opportunités de carrières et accompagnement vers l’emploi avec le programme Nestlé Needs YOUth dans un univers varié avec un accès à de nombreux événements. » Nous sommes labellisés Happy Trainees depuis 2014 et Engagement Jeunes depuis 2016. Notre proposition :  Rejoindre Nestlé en France, c’est entrer dans le Premier Pôle d’expertises agro-alimentaire, une communauté inclusive, solidaire et vertueuse. Vous y trouverez du respect et de la considération pour vous épanouir à tous les niveaux. Au sein de l'équipe Consumer & Marketplace Insights, pôle d’expertise clé au sein de la Direction Marketing, vous contribuez au développement d’une plateforme propriétaire destinée à mesurer l’impact sur les ventes des investissements média/marketing des marques Nestlé. Vous aidez également les équipes Marketing à optimiser en permanence leurs investissements. L’outil repose sur des modèles Marketing Mix Modeling (MMM). Vos missions au quotidien :  Contribuer à l’amélioration de la qualité des données marketing intégrées dans notre Data Warehouse en vérifiant que les données de toutes les sources sont exactes  Participer à l’intégration de nouvelles sources de données aux côtés des Data Engineers afin de mettre en œuvre l’industrialisation des livraisons de données  Être en contact direct avec nos agences média / marketing pour la validation et les corrections de données nécessaires à la bonne avancée du projet  Collaborer étroitement avec l’équipe Data Nestlé - notamment les Products Owner, Project Manager et Head of Data Analytics – ainsi que les équipes marketing opérationnel des différentes catégories Nestlé (Café, Chocolat, Culinaire, Eaux, Pet Food ...)  Accompagner également l’Expert Marketing / Media Effectiveness dans les vérifications et l’exploitation des résultats de la plateforme  Vos atouts pour réussir :  Diplôme requis préparé BAC +4 spécialisations Data / Statistiques ou Marketing Quantitatif  Appétence pour le Data Management et solides compétences analytiques  Utilisation d’outils (Excel, la connaissance d’Azure & Databricks sera un plus, la maîtrise de Python/SQL est recommandée)  Niveau d’anglais courant  Rigueur, proactivité et fiabilité  Convaincu(e) que vous pouvez exercer votre métier de façon responsable, vous cherchez une entreprise qui a fait de la responsabilité une ligne de conduite, à tous les niveaux. Vous recherchez une entreprise qui s’implique autant dans la préservation de l’environnement que dans l’évolution de votre carrière : chez Nestlé en France ce ne sera jamais figé. Nous considérons que l’entreprise est aussi un lieu de réalisation. C'est tout vous ? On est fait pour s'entendre ! Retrouvez le témoignage de nos alternants et stagiaires ici ! Intéressé(e) par cette offre et nos perspectives d’évolution ? Alors place à l'action ! Postulez dès maintenant, pour aujourd'hui et pour demain. Le talent n’a ni genre, ni couleur de peau, ni orientation sexuelle, ni croyance . L’inclusion des différences fait la force de Nestlé en France. Nous sommes signataire de la Charte de la Diversité et de la Charte de l’Autre Cercle. #entrepriseinclusive #WeAreNestle Pour en savoir plus sur notre politique en matière de diversité équité et inclusion, n’hésitez pas à consulter notre score « Mixity » : Mixity
       

        

    
    
    

     
        Voir plus

         
     
  

        

    
    
    

     
        Voir moins",il y a 1 semaine
